"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 07 00:02:46 GMT 2024","Wed Aug 07 00:02:47 GMT 2024","999","","","","","","Validate Council Output [NewarkAndSherwoodDC]",""
"failed","Tue Aug 06 23:53:32 GMT 2024","Tue Aug 06 23:53:34 GMT 2024","1327","","","","","","Validate Council Output [BradfordMDC]",""
"passed","Wed Aug 07 00:04:19 GMT 2024","Wed Aug 07 00:04:20 GMT 2024","1038","","","","","","Validate Council Output [RochfordCouncil]",""
"passed","Wed Aug 07 00:04:40 GMT 2024","Wed Aug 07 00:07:01 GMT 2024","140490","","","","","","Validate Council Output [SevenoaksDistrictCouncil]",""
"passed","Wed Aug 07 00:02:24 GMT 2024","Wed Aug 07 00:02:25 GMT 2024","914","","","","","","Validate Council Output [LisburnCastlereaghCityCouncil]",""
"passed","Tue Aug 06 23:53:34 GMT 2024","Tue Aug 06 23:57:50 GMT 2024","256579","","","","","","Validate Council Output [BrightonandHoveCityCouncil]",""
"passed","Wed Aug 07 00:09:59 GMT 2024","Wed Aug 07 00:10:02 GMT 2024","2781","","","","","","Validate Council Output [SwanseaCouncil]",""
"passed","Wed Aug 07 00:05:02 GMT 2024","Wed Aug 07 00:05:03 GMT 2024","1368","","","","","","Validate Council Output [SouthAyrshireCouncil]",""
"passed","Wed Aug 07 00:04:23 GMT 2024","Wed Aug 07 00:04:38 GMT 2024","14369","","","","","","Validate Council Output [RushcliffeBoroughCouncil]",""
"passed","Tue Aug 06 23:57:43 GMT 2024","Tue Aug 06 23:57:44 GMT 2024","968","","","","","","Validate Council Output [CornwallCouncil]",""
"passed","Wed Aug 07 00:07:31 GMT 2024","Wed Aug 07 00:07:33 GMT 2024","1810","","","","","","Validate Council Output [StratfordUponAvonCouncil]",""
"failed","Tue Aug 06 23:58:27 GMT 2024","Tue Aug 06 23:58:28 GMT 2024","939","","","","","","Validate Council Output [MertonCouncil]",""
"passed","Wed Aug 07 00:10:47 GMT 2024","Wed Aug 07 00:10:49 GMT 2024","1412","","","","","","Validate Council Output [WestNorthamptonshireCouncil]",""
"passed","Wed Aug 07 00:10:19 GMT 2024","Wed Aug 07 00:11:01 GMT 2024","41952","","","","","","Validate Council Output [WestLindseyDistrictCouncil]",""
"passed","Wed Aug 07 00:07:23 GMT 2024","Wed Aug 07 00:07:24 GMT 2024","995","","","","","","Validate Council Output [StAlbansCityAndDistrictCouncil]",""
"passed","Wed Aug 07 00:03:54 GMT 2024","Wed Aug 07 00:04:29 GMT 2024","35807","","","","","","Validate Council Output [PortsmouthCityCouncil]",""
"passed","Tue Aug 06 23:58:07 GMT 2024","Tue Aug 06 23:58:08 GMT 2024","718","","","","","","Validate Council Output [FarehamBoroughCouncil]",""
"passed","Wed Aug 07 00:04:34 GMT 2024","Wed Aug 07 00:04:40 GMT 2024","5108","","","","","","Validate Council Output [NottinghamCityCouncil]",""
"passed","Wed Aug 07 00:09:55 GMT 2024","Wed Aug 07 00:10:15 GMT 2024","19515","","","","","","Validate Council Output [TendringDistrictCouncil]",""
"passed","Tue Aug 06 23:57:44 GMT 2024","Tue Aug 06 23:57:45 GMT 2024","1421","","","","","","Validate Council Output [CrawleyBoroughCouncil]",""
"passed","Wed Aug 07 00:03:57 GMT 2024","Wed Aug 07 00:04:34 GMT 2024","37476","","","","","","Validate Council Output [NorthumberlandCouncil]",""
"passed","Tue Aug 06 23:57:47 GMT 2024","Tue Aug 06 23:57:49 GMT 2024","1953","","","","","","Validate Council Output [DartfordBoroughCouncil]",""
"passed","Wed Aug 07 00:03:12 GMT 2024","Wed Aug 07 00:03:13 GMT 2024","1157","","","","","","Validate Council Output [MalvernHillsDC]",""
"failed","Wed Aug 07 00:10:40 GMT 2024","Wed Aug 07 00:11:29 GMT 2024","49374","","","","","","Validate Council Output [WalthamForest]",""
"passed","Tue Aug 06 23:53:48 GMT 2024","Tue Aug 06 23:58:07 GMT 2024","259546","","","","","","Validate Council Output [CheshireWestAndChesterCouncil]",""
"passed","Wed Aug 07 00:00:53 GMT 2024","Wed Aug 07 00:00:53 GMT 2024","283","","","","","","Validate Council Output [GedlingBoroughCouncil]",""
